Stations,w,h,x,y
EarlsCourt_WestKensington.png,128,58,616,1002
Snaresbrook_Leytonstone.png,78,88,1697,449
Stockwell_ClaphamNorth.png,173,53,883,1301
Bank_Shadwell.png,277,80,1227,877
ClaphamNorth_ClaphamCommon.png,120,39,852,1335
Leytonstone_Wanstead.png,77,46,1696,491
WestKensington_BaronsCourt.png,60,69,621,988
BaronsCourt_Hammersmith.png,122,65,538,973
ClaphamCommon_ClaphamSouth.png,102,41,846,1354
TowerGateway_Shadwell.png,134,64,1369,919
Wanstead_Redbridge.png,79,39,1709,477
ClaphamSouth_Balham.png,85,44,844,1371
Hammersmilth_RavenscourtPark.png,84,81,534,975
Limehouse_Shadwell.png,98,43,1454,907
Redbridge_GantsHill.png,78,43,1736,481
Balham_TootingBec.png,110,44,848,1390
GantsHill_NewburyPark.png,81,63,1779,463
Limehouse_Westferry.png,93,51,1483,910
RavenscourtPark_StamfordBrook.png,108,37,492,1023
NewburyPark_Barkingside.png,79,48,1799,441
StamfordBrook_TurnahmGreen.png,97,35,446,1022
TootingBroadway_ColliersWood.png,119,38,844,1433
Westferry_Poplar.png,83,43,1527,912
Barkingside_Fairlop.png,72,39,1801,412
ColliersWood_SouthWimbledon.png,109,44,817,1449
NottingHillGate_HollandPark.png,104,55,675,871
Poplar_WestIndiaQuay.png,83,76,1528,914
WestHam_CanningTown.png,86,185,1697,751
Fairlop_Hainault.png,64,40,1793,389
HollandPark_ShepherdsBush.png,93,58,627,865
SouthWimbledon_Morden.png,175,91,753,1473
Westferry_WestIndiaQuay.png,92,72,1526,918
BeckenhamJunction_BeckenhamRoad.png,276,43,1831,1363
Hainault_GrangeHill.png,91,63,1771,345
ShepherdsBush_WhiteCity.png,127,37,567,866
WestIndiaQuay_CanaryWharf.png,102,55,1509,963
BeckenhamRoad_AvenueRoad.png,181,59,1831,1346
CanaryWharf_HeronQuays.png,102,59,1509,998
GrangeHill_Chigwell.png,68,44,1745,344
Whitecity_EastActon.png,82,44,520,867
AvenueRoad_Birkbeck.png,122,50,1831,1346
Chigwell_RodingValley.png,74,48,1716,340
EastActon_NorthActon.png,83,67,481,866
HeronQuays_SouthQuay.png,87,51,1527,1039
Birkbeck_HarringtonRoad.png,128,37,1786,1355
CamdenTown_KentishTown.png,219,93,1003,560
RodingValley_Woodford.png,73,71,1697,341
SouthQuay_Crossharbour.png,91,43,1522,1067
Crossharbour_Mudchute.png,86,44,1526,1092
HarringtonRoad_Arena.png,138,93,1729,1354
KentishTown_TufnellPark.png,95,53,1130,533
Woodford_BuckhurstHill.png,106,106,1678,306
BuckhurstHill_Loughton.png,88,36,1694,287
ElmersEnd_Arena.png,157,37,1731,1411
Mudchute_IslandGardens.png,97,42,1516,1117
TufnellPark_Archway.png,80,79,1139,473
Archway_Highgate.png,72,58,1135,442
Arena_Woodside.png,70,45,1705,1426
IslandGardens_CuttySarkForMartimeGreenwich.png,200,64,1518,1141
Loughton_Debden.png,64,37,1697,262
CuttySarkForMartimeGreenwich_Greenwich.png,126,49,1592,1181
Debden_TheydonBols.png,82,37,1699,237
Highgate_EastFinchley.png,79,41,1142,422
Woodside_BlackhorseLane.png,94,45,1686,1449
BlackhorseLane_Addiscomble.png,122,42,1658,1475
EastFinchley_FinchleyCentral.png,111,44,1133,395
Epping_TheydonBols.png,82,40,1696,214
Greenwich_DeptfordBridge.png,99,48,1589,1209
CanningTown_NorthGreenwich.png,142,176,1643,886
Addiscomble_Sandilands.png,142,48,1598,1497
DeptfordBridge_ElversonRoad.png,97,47,1592,1237
FinchleyCentral_MillHillEast.png,205,72,1036,344
WoodgrangePark_Barking.png,91,139,1819,573
FinchleyCentral_WestFinchley.png,100,61,1139,353
Lewisham_ElversonRoad.png,89,40,1591,1264
NewAddington_KingHenrysDrive.png,184,44,1831,1549
WoodgrangePark_WansteadPark.png,178,51,1717,551
Coclfosters_Oakwood.png,78,44,1293,271
KingHenrysDrive_Fieldway.png,127,41,1831,1554
WansteadPark_LeytonstoneHighRoad.png,138,38,1634,550
WestFinchley_WoodsidePark.png,98,46,1138,328
Fieldway_AddingtonVillage.png,125,47,1766,1555
LeytonstoneHighRoad_LeytonMidlandRoad.png,107,56,1594,531
Oakwood_Southgate.png,71,46,1298,293
WoodsidePark_TotteridgeandWhetstone.png,138,42,1136,303
AddingtonVillage_GravelHill.png,111,40,1718,1555
LeytonMidlandRoad_WalthamstowQueensRoad.png,172,61,1485,508
Southgate_ArnosGrove.png,72,46,1292,320
TotteridgeandWhetstone_HighBarnet.png,133,48,1138,275
ArnosGrove_BoundsGreen.png,86,45,1279,346
Euston_CamdenTown.png,105,90,996,636
GravelHill_CoombeLane.png,137,41,1621,1555
WalthamstowQueensRoad_BlackhorseRoad.png,88,97,1486,451
BlackhorseRoad_SouthTottenham.png,139,75,1436,422
BoundsGreen_WoodGreen.png,83,41,1283,377
CoombeLane_LloydPark.png,82,46,1619,1536
Euston_MormingtonCrescent.png,110,62,998,668
LloydPark_Sandilands.png,91,47,1591,1516
MorningtonCrescent_CamdenTown.png,93,52,1000,636
SouthTottenham_HarringayGreenLanes.png,128,49,1368,413
WoodGreen_TurnpikeLane.png,82,42,1284,401
CamdenTown_ChalkFarm.png,84,44,1006,609
HarringayGreenLanes_CrouchHill.png,202,64,1215,412
Sandilands_LebanonRoad.png,88,50,1562,1493
TurnpikeLane_ManorHouse.png,86,71,1283,426
ChalkFarm_BelsizePark.png,106,39,980,589
CrouchHill_UpperHolloway.png,104,86,1162,445
FinsburyPark_ManorHouse.png,115,81,1289,482
LebanonRoad_EastCroydon.png,94,61,1525,1496
NorthGreenwich_CanaryWharth.png,181,64,1512,997
BelsizePark_Hampstead.png,137,93,921,515
FinsburyPark_Arsenal.png,129,58,1275,502
Stratford_HackneyWick.png,186,45,1612,642
WandlePark_ChurchStreet.png,160,34,1300,1518
Arsenal_HollowayRoad.png,106,47,1220,527
Central_ChurchStreet.png,72,84,1375,1470
HackneyWick_Homerton.png,110,43,1548,644
HAmstead_GoldersGreen.png,110,51,881,490
ChurchStreet_GeorgeStreet.png,110,42,1412,1513
GoldersGreen_BrentCross.png,98,45,870,470
HollowayRoad_CaledonianRoad.png,115,75,1189,552
Homerton_HackneyCentral.png,111,48,1490,627
BrentCross_HendonCentral.png,130,62,813,433
CaledonianRoad_KingsCrossStPancras.png,155,163,1102,591
GeorgeStreet_EastCroydon.png,110,39,1476,1516
HackneyCentral_DalstonKingsland.png,173,66,1390,602
DalstonKingsland_Canonbury.png,89,61,1349,604
EastCroydon_WellesleyRoad.png,110,80,1473,1472
HendonCentral_Colindale.png,93,54,822,411
LondonBridge_Bank.png,83,197,1225,877
Colindale_BurntOak.png,92,47,797,392
HighburyandIslington_Canonbury.png,100,70,1306,598
Moorgate_Bank.png,91,119,1197,827
WellesleyRoad_WestCroydon.png,97,61,1434,1452
BurntOak_Edgware.png,91,64,773,355
Canonbury_DalstonJunction.png,92,75,1349,615
OldStreet_Moorgate.png,143,115,1192,746
WestCroydon_Central.png,136,48,1402,1452
Central_ReevesPark.png,153,52,1295,1468
DalstonJunction_Haggerston.png,109,58,1347,658
KentishTownWest_GospelOak.png,94,71,1035,526
OldStreet_Angel.png,144,46,1193,721
Angel_KingsCrossStPancras.png,124,85,1100,674
GospelOak_HampsteadHeath.png,149,61,935,537
Haggerston_Hoxton.png,75,45,1381,698
ReevesCorner_WandlePark.png,91,65,1290,1489
HampsteadHeath_FinchleyRoadandFrognal.png,103,70,898,557
Hoxton_ShoreditchHighStreet.png,79,78,1380,724
KingsCrossStPancras_Euston.png,172,85,993,675
WandlePark_WaddonMarsh.png,97,40,1248,1513
CanaryWharth_CanadaWater.png,207,57,1406,998
Aldgate_LiverpoolStreet.png,94,90,1298,799
FinchleyRoadandFrognal_WestHampstead.png,253,145,813,482
ShoreditchHighStreet_Whitechapel.png,141,68,1375,778
WaddsonMarsh_AmpereWay.png,98,42,1201,1513
AmpereWay_TherapiaLane.png,97,44,1146,1512
Euston_SouthHampstead.png,206,47,902,681
